OccNo,OccAcID,RegistrationNo,RegCountry,YearManufacture,MaxTakeOffWeight,WeightCategory,AircraftType,AircraftMake,AircraftModel,Organization,OperatorType,CARSubpart,StateOperator,OperationType,Departure,Destination,DamageLevel,PRODUCTION_DT
A04A0130,A04A0130_1,C-GLHO,CANADA,1997,7766,5701-27000,AEROPLANE,BEECH,1900D,LABRADOR AIRWAYS,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYDF DEER LAKE,CYYT ST. JOHN'S INTL,NONE,2019-03-29T13:28:51
A04A0133,A04A0133_1,C-FRJZ,CANADA,1997,11181,5701-27000,AEROPLANE,ISRAEL AIRCRAFT (IAI),ASTRA SPX,JETPORT INC,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYYZ TORONTO/LESTER B. PEARSON,CYHZ HALIFAX INTL,NONE,2019-03-29T13:28:51
A04A0133,A04A0133_2,,CANADA,,,27001-272000,AEROPLANE,AIRBUS,A320,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYZ TORONTO/LESTER B. PEARSON,CYHZ HALIFAX INTL,NONE,2019-03-29T13:28:51
A04A0134,A04A0134_1,N806NW,UNITED STATES,2004,,OVER 272001,AEROPLANE,AIRBUS,A330-300,NORTHWEST AIRLINES,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KDTW DETROIT/WAYNE COUNTY,EHAM AMSTERDAM SCHIPHOL INTL,NONE,2019-03-29T13:28:51
A04A0135,A04A0135_1,C-GCIC,CANADA,,317,0-2250,ADVANCED ULTRALIGHT,PROGRESSIVE AERODYNE,SEAREY-80,,PRIVATE,,N/A,PLEASURE/TRAVEL,SHEDIAC RIVER,CCD3 WOODSTOCK ARPT,SUBSTANTIAL,2019-03-29T13:28:51
A04A0136,A04A0136_1,,CANADA,,159000,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYZ TORONTO LESTER B. PEARSON,CYHZ HALIFAX INTL,NONE,2019-03-29T13:28:51
A04A0136,A04A0136_2,,CANADA,,159000,27001-272000,AEROPLANE,BOEING,767-300,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYZ TORONTO LESTER B. PEARSON,CYHZ HALIFAX INTL.,NONE,2019-03-29T13:28:51
A04A0137,A04A0137_1,VP-CVL,CAYMAN ISLANDS,,,5701-27000,AEROPLANE,LEARJET,45,,CORPORATE,N/A,N/A,BUSINESS,CYQX GANDER INTERNATIONAL,EGLF FARNBOROUGH AIRPORT,NONE,2019-03-29T13:28:51
A04A0137,A04A0137_2,N283S,UNITED STATES,2001,,27001-272000,AEROPLANE,BOMBARDIER,BD-700-1A10 (GLOBAL EXPRESS),SHAMROCK AVIATION,CORPORATE,N/A,N/A,BUSINESS,LSGG GENEVA INTERNATIONAL AIRPORT,KTEB TETERBORO AIRPORT,NONE,2019-03-29T13:28:51
A04A0141,A04A0141_1,C-GANN,CANADA,,15649,5701-27000,AEROPLANE,DE HAVILLAND,DHC-8 (DASH 8),LABRADOR AIRWAYS,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYR GOOSE BAY ARPT,CYWK WABUSH ARPT,NONE,2019-03-29T13:28:51
